states_name_en,count
Afghanistan,2
Albania,2
Algeria,7
Andorra,1
Angola,1
Antigua and Barbuda,1
Argentina,9
Armenia,3
Australia,20
Austria,7
Azerbaijan,4
Bahrain,3
Bangladesh,3
Barbados,1
Belarus,2
Belgium,10
Belize,1
Benin,1
Bolivia ,6
Bosnia and Herzegovina,2
Botswana,2
Brazil,22
Bulgaria,9
Burkina Faso,2
C̫te d'Ivoire,4
Cabo Verde,1
Cambodia,4
Cameroon,1
Canada,20
Central African Republic,1
Chad,2
Chile,6
China,56
Colombia,8
Congo,1
Costa Rica,3
Croatia,7
Cuba,9
Cyprus,3
Czechia,14
Democratic People's Republic of Korea,2
Democratic Republic of the Congo,5
Denmark,10
Dominica,1
Dominican Republic,1
Ecuador,4
Egypt,7
El Salvador,1
Eritrea,1
Estonia,1
Ethiopia,11
Fiji,1
Finland,5
France,45
Gabon,2
Gambia,1
Georgia,4
Germany,42
Ghana,2
Greece,19
Guatemala,4
Haiti,1
Holy See,1
Honduras,2
Hungary,6
Iceland,3
India,41
Indonesia,10
Iran ,26
Iraq,6
Ireland,2
Israel,9
Italy,52
Jamaica,1
Japan,24
Jerusalem ,1
Jordan,6
Kazakhstan,3
Kenya,7
Kiribati,1
Kyrgyzstan,1
Lao People's Democratic Republic,3
Latvia,2
Lebanon,6
Libya,5
Lithuania,3
Luxembourg,1
Madagascar,3
Malawi,2
Malaysia,4
Mali,4
Malta,3
Marshall Islands,1
Mauritania,2
Mauritius,2
Mexico,35
Micronesia ,1
Mongolia,4
Montenegro,2
Morocco,9
Mozambique,1
Myanmar,2
Namibia,2
Nepal,4
Netherlands ,10
New Zealand,3
Nicaragua,2
Niger,2
Nigeria,2
Norway,7
Oman,5
Pakistan,6
Palau,1
Panama,4
Papua New Guinea,1
Paraguay,1
Peru,12
Philippines,6
Poland,13
Portugal,16
Qatar,1
Republic of Korea,16
Romania,8
Russian Federation,27
Rwanda,2
Saint Kitts and Nevis,1
Saint Lucia,1
San Marino,1
Saudi Arabia,7
Senegal,6
Serbia,4
Seychelles,2
Singapore,1
Slovakia,5
Slovenia,2
Solomon Islands,1
South Africa,9
Spain,46
Sri Lanka,8
State of Palestine,4
Sudan,3
Suriname,3
Sweden,13
Switzerland,8
Syrian Arab Republic,6
Tajikistan,3
Thailand,7
Tunisia,9
Turkey,21
Turkmenistan,3
Uganda,3
Ukraine,5
United Arab Emirates,1
United Kingdom of Great Britain and Northern Ireland,31
United Republic of Tanzania,7
United States of America,23
Uruguay,3
Uzbekistan,4
Vanuatu,1
Venezuela ,3
Viet Nam,8
Yemen,5
Zimbabwe,4
